Random IV: 1101
	 d	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1101 1110 1111 
k=0000, f0(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1101 1110 1111 
k=0001, f1(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1101 1111 1110 
k=0010, f2(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1110 1101 1111 
k=0011, f3(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1110 1111 1101 
k=0100, f4(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1111 1101 1110 
k=0101, f5(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1111 1110 1101 
k=0110, f6(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1101 1100 1110 1111 
k=0111, f7(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1101 1100 1111 1110 
k=1000, f8(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1101 1110 1100 1111 
k=1001, f9(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1101 1110 1111 1100 
k=1010, f10(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1101 1111 1100 1110 
k=1011, f11(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1101 1111 1110 1100 
k=1100, f12(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1110 1100 1101 1111 
k=1101, f13(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1110 1100 1111 1101 
k=1110, f14(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1110 1101 1100 1111 
k=1111, f15(d)	 0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1110 1101 1111 1100 
